ID,adj.P.val,P.Value,t,B,logFC,Gene.Symbol,Gene.Function,,,
TC01002498.hg.1,1,0.192761,-1.32,-4.8633,PSMB2,proteasome (prosome, macropain) subunit, beta type,2,
TC03000667.hg.1,1,0.192778,-1.32,-4.8633,ABTB1,ankyrin repeat and BTB (POZ) domain containing 1,,,,
TC19000329.hg.1,1,0.192795,-1.32,-4.8634,OCEL1,occludin/ELL domain containing 1,,,,
TC06001039.hg.1,1,0.192909,1.31,-4.8638,MIR3668,microRNA 3668,,,,
TC11000632.hg.1,1,0.193012,-1.31,-4.8641,SCYL1,SCY1-like 1 (S. cerevisiae),,,,
TC02001291.hg.1,1,0.193037,-1.31,-4.8642,RUFY4,RUN and FYVE domain containing 4,,,,
TC21000367.hg.1,1,0.193138,-1.31,-4.8645,KRTAP27-1,keratin associated protein 27-1,,,,
TC01001551.hg.1,1,0.193177,-1.31,-4.8647,SOAT1,sterol O-acyltransferase 1,,,,
TC07000635.hg.1,1,0.193225,-1.31,-4.8648,TRIP6,thyroid hormone receptor interactor 6,,,,
TC19001255.hg.1,1,0.19337,-1.31,-4.8653,WIZ,widely interspaced zinc finger motifs,,,,
TC03000932.hg.1,1,0.193476,1.31,-4.8657,NLGN1,neuroligin 1,,,,
TC19000647.hg.1,1,0.19348,-1.31,-4.8657,FOSB,FBJ murine osteosarcoma viral oncogene homolog B,,,,
TC11000840.hg.1,1,0.193489,-1.31,-4.8657,USP35,ubiquitin specific peptidase 35,,,,
TC07000971.hg.1,1,0.193493,1.31,-4.8657,RNY5,RNA, Ro-associated Y5,,,
TC03000333.hg.1,1,0.193548,-1.31,-4.8659,DNAH1,dynein, axonemal, heavy chain 1,,
TC07001736.hg.1,1,0.193559,-1.31,-4.866,ATXN7L1,ataxin 7-like 1,,,,
TC0X001020.hg.1,1,0.193608,-1.31,-4.8661,PIM2,pim-2 oncogene,,,,
TC19000738.hg.1,1,0.193668,-1.31,-4.8663,RCN3,reticulocalbin 3, EF-hand calcium binding domain,,,
TC6_cox_hap2000070.hg.1,1,0.193674,-1.31,-4.8663,PRRC2A,proline-rich coiled-coil 2A,,,,
TC6_qbl_hap6000061.hg.1,1,0.193674,-1.31,-4.8663,PRRC2A,proline-rich coiled-coil 2A,,,,
TC6_ssto_hap7000057.hg.1,1,0.193674,-1.31,-4.8663,PRRC2A,proline-rich coiled-coil 2A,,,,
TC11000027.hg.1,1,0.193718,-1.31,-4.8665,TALDO1,transaldolase 1,,,,
TC15000042.hg.1,1,0.193852,-1.31,-4.8669,C15orf2,chromosome 15 open reading frame 2,,,,
TC6_mcf_hap5000169.hg.1,1,0.193882,-1.31,-4.867,HLA-DRB4,major histocompatibility complex, class II, DR beta 4,,
TC19000277.hg.1,1,0.193892,1.31,-4.8671,OR10H3,olfactory receptor, family 10, subfamily H, member 3,
TC16000338.hg.1,1,0.194015,-1.31,-4.8675,ALDOA,aldolase A, fructose-bisphosphate,,,
TC11001483.hg.1,1,0.194074,1.31,-4.8677,LOC100126784,uncharacterized LOC100126784,,,,
TC09000943.hg.1,1,0.19409,-1.31,-4.8677,MIR4474,microRNA 4474,,,,
TC10002970.hg.1,1,0.194114,1.31,-4.8678,METTL10,methyltransferase like 10,,,,
TC05000757.hg.1,1,0.194128,1.31,-4.8679,PCDHB14,protocadherin beta 14,,,,
TC01002983.hg.1,1,0.194173,1.31,-4.868,PGCP1,progastricsin (pepsinogen C) pseudogene 1,,,,
TC09001297.hg.1,1,0.194177,-1.31,-4.868,LOC494127,NFYC pseudogene,,,,
TC06000870.hg.1,1,0.194248,1.31,-4.8683,ARMC2,armadillo repeat containing 2,,,,
TC18000137.hg.1,1,0.194475,-1.31,-4.869,WBP11P1,WW domain binding protein 11 pseudogene 1,,,,
TC14000895.hg.1,1,0.194488,-1.31,-4.8691,OR6S1,olfactory receptor, family 6, subfamily S, member 1,
TC10000814.hg.1,1,0.194612,1.31,-4.8695,VTI1A,vesicle transport through interaction with t-SNAREs homolog 1A (yeast),,,,
TC19001134.hg.1,1,0.194662,-1.31,-4.8697,ZNF414,zinc finger protein 414,,,,
TC05000375.hg.1,1,0.194683,-1.31,-4.8697,CRHBP,corticotropin releasing hormone binding protein,,,,
TC14000884.hg.1,1,0.194752,-1.31,-4.87,TEP1,telomerase-associated protein 1,,,,
TC12003275.hg.1,1,0.19483,-1.31,-4.8702,PRB2,proline-rich protein BstNI subfamily 2,,,,
TC05000823.hg.1,1,0.194898,-1.31,-4.8704,PPARGC1B,peroxisome proliferator-activated receptor gamma, coactivator 1 beta,,,
TC21000092.hg.1,1,0.195062,1.31,-4.871,LINC00161,long intergenic non-protein coding RNA 161,,,,
TC03003397.hg.1,1,0.195136,-1.31,-4.8712,ANKUB1,ankyrin repeat and ubiquitin domain containing 1,,,,
TC07001507.hg.1,1,0.195136,-1.31,-4.8712,WBSCR27,Williams Beuren syndrome chromosome region 27,,,,
TC04001242.hg.1,1,0.195232,1.31,-4.8716,TECRL,trans-2,3-enoyl-CoA reductase-like,,,
TC08001742.hg.1,1,0.195328,-1.31,-4.8719,SHARPIN,SHANK-associated RH domain interactor,,,,
TC05001872.hg.1,1,0.195463,-1.31,-4.8723,ARAP3,ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3,,,
TC14000058.hg.1,1,0.195542,1.31,-4.8726,RNASE10,ribonuclease, RNase A family, 10 (non-active),,
TC14000428.hg.1,1,0.19572,1.31,-4.8732,LOC100506411,uncharacterized LOC100506411,,,,
TC6_dbb_hap3000016.hg.1,1,0.195728,-1.31,-4.8732,HLA-F,major histocompatibility complex, class I, F,,
TC6_mann_hap4000017.hg.1,1,0.195728,-1.31,-4.8732,HLA-F,major histocompatibility complex, class I, F,,
TC6_qbl_hap6000015.hg.1,1,0.195728,-1.31,-4.8732,HLA-F,major histocompatibility complex, class I, F,,
TC02000299.hg.1,1,0.195809,1.31,-4.8735,MSH6,mutS homolog 6 (E. coli),,,,
TC0X002360.hg.1,1,0.195876,1.31,-4.8737,LOC100287765,uncharacterized LOC100287765,,,,
TC6_mann_hap4000190.hg.1,1,0.195975,-1.31,-4.874,PSMB9,proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2),
TC6_qbl_hap6000215.hg.1,1,0.195975,-1.31,-4.874,PSMB9,proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2),
TC22000611.hg.1,1,0.1961,-1.31,-4.8744,MIR548J,microRNA 548j,,,,
TC22000608.hg.1,1,0.196135,-1.31,-4.8746,HPS4,Hermansky-Pudlak syndrome 4,,,,
TC15001587.hg.1,1,0.196166,1.31,-4.8747,AAGAB,alpha- and gamma-adaptin binding protein,,,,
TC03000503.hg.1,1,0.196208,1.31,-4.8748,C3orf26,chromosome 3 open reading frame 26,,,,
TC02001919.hg.1,1,0.196353,-1.3,-4.8753,LOC400958,uncharacterized LOC400958,,,,
TC14000675.hg.1,1,0.196434,-1.3,-4.8755,SNORD113-9,small nucleolar RNA, C/D box 113-9,,,
TC02002927.hg.1,1,0.196464,-1.3,-4.8756,MIR2467,microRNA 2467,,,,
TC01002024.hg.1,1,0.196794,1.3,-4.8767,OR2L5,olfactory receptor, family 2, subfamily L, member 5,
TC08001538.hg.1,1,0.196859,1.3,-4.8769,CSMD3,CUB and Sushi multiple domains 3,,,,
TC6_mcf_hap5000114.hg.1,1,0.196892,-1.3,-4.8771,TRIM26,tripartite motif containing 26,,,,
TC08000332.hg.1,1,0.196911,-1.3,-4.8771,SGK196,protein kinase-like protein SgK196,,,,
TC6_dbb_hap3000109.hg.1,1,0.196951,1.3,-4.8773,OR11A1,olfactory receptor, family 11, subfamily A, member 1,
TC14002306.hg.1,1,0.19708,1.3,-4.8777,UBR7,ubiquitin protein ligase E3 component n-recognin 7 (putative),,,,
TC02000944.hg.1,1,0.197145,1.3,-4.8779,GALNT13,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13 (GalNAc-T13),,,,
TC05001957.hg.1,1,0.197165,-1.3,-4.878,ATOX1,ATX1 antioxidant protein 1 homolog (yeast),,,,
TC01002010.hg.1,1,0.19717,1.3,-4.878,C1orf150,chromosome 1 open reading frame 150,,,,
TC01006303.hg.1,1,0.197195,-1.3,-4.8781,GBAP1,glucosidase, beta, acid pseudogene 1,,
TC19001148.hg.1,1,0.197211,1.3,-4.8781,ZNF426,zinc finger protein 426,,,,
TC22000362.hg.1,1,0.197247,-1.3,-4.8782,TSPO,translocator protein (18kDa),,,,
TC02000514.hg.1,1,0.197253,-1.3,-4.8782,RNF181,ring finger protein 181,,,,
TC05002100.hg.1,1,0.197265,-1.3,-4.8783,HK3,hexokinase 3 (white cell),,,,
TC06000832.hg.1,1,0.197299,1.3,-4.8784,LOC728012,uncharacterized LOC728012,,,,
TC05000898.hg.1,1,0.197386,1.3,-4.8787,MIR3142,microRNA 3142,,,,
TC01002855.hg.1,1,0.197618,-1.3,-4.8794,GEMIN8P4,gem (nuclear organelle) associated protein 8 pseudogene 4,,,,
TC10001553.hg.1,1,0.197666,1.3,-4.8796,LOC728558,uncharacterized LOC728558,,,,
TC17001847.hg.1,1,0.197821,1.3,-4.8801,SDK2,sidekick homolog 2 (chicken),,,,
TC6_dbb_hap3000226.hg.1,1,0.197837,-1.3,-4.8802,PSMB9,proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2),
TC22000260.hg.1,1,0.197844,-1.3,-4.8802,MCM5,minichromosome maintenance complex component 5,,,,
TC09000069.hg.1,1,0.197851,1.3,-4.8802,C9orf146,chromosome 9 open reading frame 146,,,,
TC06004150.hg.1,1,0.197855,1.3,-4.8802,FKBP5,FK506 binding protein 5,,,,
TC05003433.hg.1,1,0.197902,-1.3,-4.8804,APBB3,amyloid beta (A4) precursor protein-binding, family B, member 3,,
TC01000082.hg.1,1,0.197959,-1.3,-4.8806,MIR4417,microRNA 4417,,,,
TC11001746.hg.1,1,0.198003,-1.3,-4.8807,MTCH2,mitochondrial carrier 2,,,,
TC02001358.hg.1,1,0.198145,1.3,-4.8812,LOC646736,uncharacterized LOC646736,,,,
TC6_mann_hap4000061.hg.1,1,0.198288,-1.3,-4.8816,PRRC2A,proline-rich coiled-coil 2A,,,,
TC19001562.hg.1,1,0.19829,-1.3,-4.8816,RABAC1,Rab acceptor 1 (prenylated),,,,
TC02001943.hg.1,1,0.198444,1.3,-4.8821,FBXO48,F-box protein 48,,,,
TC10001225.hg.1,1,0.198513,1.3,-4.8824,ANUBL1,AN1, ubiquitin-like, homolog (Xenopus laevis),,
TC17001732.hg.1,1,0.198556,-1.3,-4.8825,RNF43,ring finger protein 43,,,,
TC06002063.hg.1,1,0.198673,1.3,-4.8829,LOC285762,uncharacterized LOC285762,,,,
TC03001925.hg.1,1,0.198716,1.3,-4.883,LOC100507537,uncharacterized LOC100507537,,,,
TC02000167.hg.1,1,0.198719,-1.3,-4.883,C2orf28,chromosome 2 open reading frame 28,,,,
TC09000174.hg.1,1,0.198756,-1.3,-4.8832,LOC415056,uncharacterized LOC415056,,,,
TC11001194.hg.1,1,0.198839,-1.3,-4.8834,APLP2,amyloid beta (A4) precursor-like protein 2,,,,
TC04001585.hg.1,1,0.198861,-1.3,-4.8835,MAML3,mastermind-like 3 (Drosophila),,,,
TC01002444.hg.1,1,0.198876,-1.3,-4.8836,SDC3,syndecan 3,,,,
TC08001164.hg.1,1,0.198877,1.3,-4.8836,ZMAT4,zinc finger, matrin-type 4,,,
TC19001572.hg.1,1,0.198989,-1.3,-4.8839,CNFN,cornifelin,,,,
TC01003359.hg.1,1,0.199033,1.3,-4.8841,ETV3,ets variant 3,,,,
TC05000042.hg.1,1,0.199119,1.3,-4.8844,UBE2QL1,ubiquitin-conjugating enzyme E2Q family-like 1,,,,
TC01000036.hg.1,1,0.199133,-1.3,-4.8844,LOC148413,uncharacterized LOC148413,,,,
TC10000062.hg.1,1,0.199153,1.3,-4.8845,LOC100507127,uncharacterized LOC100507127,,,,
TC06002189.hg.1,1,0.19928,-1.3,-4.8849,PLAGL1,pleiomorphic adenoma gene-like 1,,,,
TC02000996.hg.1,1,0.199393,-1.3,-4.8852,CERS6,ceramide synthase 6,,,,
TC02000666.hg.1,1,0.199411,1.3,-4.8853,GCC2,GRIP and coiled-coil domain containing 2,,,,
TC02000917.hg.1,1,0.19946,-1.3,-4.8855,PABPC1P2,poly(A) binding protein, cytoplasmic 1 pseudogene 2,,,
TC03001995.hg.1,1,0.199657,1.29,-4.8861,EIF5A2,eukaryotic translation initiation factor 5A2,,,,
TC19000135.hg.1,1,0.19967,-1.29,-4.8861,TRAPPC5,trafficking protein particle complex 5,,,,
TC19001523.hg.1,1,0.199692,1.29,-4.8862,EID2,EP300 interacting inhibitor of differentiation 2,,,,
TC6_dbb_hap3000061.hg.1,1,0.199907,-1.29,-4.8869,PRRC2A,proline-rich coiled-coil 2A,,,,
TC01001729.hg.1,1,0.199932,1.29,-4.887,IL20,interleukin 20,,,,
TC12001935.hg.1,1,0.199991,1.29,-4.8872,SART3,squamous cell carcinoma antigen recognized by T cells 3,,,,
TC10000293.hg.1,1,0.199998,-1.29,-4.8872,ALOX5,arachidonate 5-lipoxygenase,,,,
TC05000836.hg.1,1,0.200053,-1.29,-4.8874,IRGM,immunity-related GTPase family, M,,,
TC02000277.hg.1,1,0.200152,1.29,-4.8877,SIX3,SIX homeobox 3,,,,
TC0X000900.hg.1,1,0.200183,-1.29,-4.8878,PHKA2,phosphorylase kinase, alpha 2 (liver),,,
TC09001377.hg.1,1,0.200192,1.29,-4.8878,C9orf21,chromosome 9 open reading frame 21,,,,
TC10000161.hg.1,1,0.200259,1.29,-4.888,ARMC3,armadillo repeat containing 3,,,,
TC11002325.hg.1,1,0.200287,-1.29,-4.8881,APOA5,apolipoprotein A-V,,,,
TC03000689.hg.1,1,0.200346,-1.29,-4.8883,COPG,coatomer protein complex, subunit gamma,,,
TC03000334.hg.1,1,0.200409,-1.29,-4.8885,PHF7,PHD finger protein 7,,,,
TC07000746.hg.1,1,0.200443,-1.29,-4.8886,LMOD2,leiomodin 2 (cardiac),,,,
TC19000278.hg.1,1,0.200476,-1.29,-4.8887,OR10H5,olfactory receptor, family 10, subfamily H, member 5,
TC20000838.hg.1,1,0.200501,1.29,-4.8888,SNORA71B,small nucleolar RNA, H/ACA box 71B,,,
TC18000066.hg.1,1,0.20059,1.29,-4.8891,SLMO1,slowmo homolog 1 (Drosophila),,,,
TC09001088.hg.1,1,0.200605,1.29,-4.8892,ANKRD18A,ankyrin repeat domain 18A,,,,
TC11000538.hg.1,1,0.200609,-1.29,-4.8892,DAGLA,diacylglycerol lipase, alpha,,,
TC14000212.hg.1,1,0.200636,-1.29,-4.8893,NPAS3,neuronal PAS domain protein 3,,,,
TC07001118.hg.1,1,0.200769,-1.29,-4.8897,FBXL18,F-box and leucine-rich repeat protein 18,,,,
TC08000676.hg.1,1,0.200801,1.29,-4.8898,MIR2053,microRNA 2053,,,,
TC20000351.hg.1,1,0.200971,1.29,-4.8903,WFDC10A,WAP four-disulfide core domain 10A,,,,
TC05000809.hg.1,1,0.201001,1.29,-4.8904,SPINK13,serine peptidase inhibitor, Kazal type 13 (putative),,,
TC03003417.hg.1,1,0.201009,1.29,-4.8905,PLSCR2,phospholipid scramblase 2,,,,
TC16000695.hg.1,1,0.201035,-1.29,-4.8906,LOC100287036,uncharacterized LOC100287036,,,,
TC10000292.hg.1,1,0.201209,1.29,-4.8911,MIR3156-1,microRNA 3156-1,,,,
TC0X002329.hg.1,1,0.201244,1.29,-4.8912,ZNF630,zinc finger protein 630,,,,
TC03003380.hg.1,1,0.201261,-1.29,-4.8913,PFKFB4,6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4,,,
TC11000093.hg.1,1,0.20131,-1.29,-4.8914,OR52K1,olfactory receptor, family 52, subfamily K, member 1,
TC02002574.hg.1,1,0.20135,1.29,-4.8916,FKBP7,FK506 binding protein 7,,,,
TC01000937.hg.1,1,0.20145,-1.29,-4.8919,TMEM167B,transmembrane protein 167B,,,,
TC06000931.hg.1,1,0.201523,-1.29,-4.8921,DCBLD1,discoidin, CUB and LCCL domain containing 1,,,
TC01003126.hg.1,1,0.201566,-1.29,-4.8923,LOC100289211,uncharacterized LOC100289211,,,,
TC07000180.hg.1,1,0.202095,-1.29,-4.894,LOC100506497,uncharacterized LOC100506497,,,,
TC12000679.hg.1,1,0.202216,-1.29,-4.8943,TMTC2,transmembrane and tetratricopeptide repeat containing 2,,,,
TC19001118.hg.1,1,0.20225,-1.29,-4.8944,CD209,CD209 molecule,,,,
TC03001772.hg.1,1,0.202297,-1.29,-4.8946,PLXND1,plexin D1,,,,
TC16001356.hg.1,1,0.202331,-1.29,-4.8947,C16orf7,chromosome 16 open reading frame 7,,,,
TC07001966.hg.1,1,0.202334,-1.29,-4.8947,OR9A2,olfactory receptor, family 9, subfamily A, member 2,
TC11001928.hg.1,1,0.202377,-1.29,-4.8949,FAU,Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed,,,,
TC01001738.hg.1,1,0.202397,-1.29,-4.8949,CR1,complement component (3b/4b) receptor 1 (Knops blood group),,,,
TC19001188.hg.1,1,0.202425,-1.29,-4.895,ACP5,acid phosphatase 5, tartrate resistant,,,
TC12000006.hg.1,1,0.202433,-1.29,-4.895,CCDC77,coiled-coil domain containing 77,,,,
TC14000585.hg.1,1,0.202508,1.29,-4.8953,PPP4R4,protein phosphatase 4, regulatory subunit 4,,,
TC17000967.hg.1,1,0.202526,-1.29,-4.8953,GEMIN4,gem (nuclear organelle) associated protein 4,,,,
TC03000264.hg.1,1,0.202572,-1.29,-4.8955,NRADDP,neurotrophin receptor associated death domain, pseudogene,,,
TC6_qbl_hap6000195.hg.1,1,0.202682,-1.29,-4.8958,RGL2,ral guanine nucleotide dissociation stimulator-like 2,,,,
TC0Y000121.hg.1,1,0.202747,1.29,-4.896,SRY,sex determining region Y,,,,
TC08001013.hg.1,1,0.202793,1.29,-4.8962,MTUS1,microtubule associated tumor suppressor 1,,,,
TC08000728.hg.1,1,0.202931,1.29,-4.8966,ZNF572,zinc finger protein 572,,,,
TC19000146.hg.1,1,0.203011,-1.29,-4.8969,RPS28,ribosomal protein S28,,,,
TC06002003.hg.1,1,0.203035,-1.29,-4.897,MICAL1,microtubule associated monoxygenase, calponin and LIM domain containing 1,,,
TC04001152.hg.1,1,0.203045,1.29,-4.897,ATP8A1,ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1
TC06001801.hg.1,1,0.203118,1.28,-4.8972,GSTA7P,glutathione S-transferase alpha 7, pseudogene,,,
TC19001848.hg.1,1,0.203131,-1.28,-4.8973,LENG9,leukocyte receptor cluster (LRC) member 9,,,,
TC21000041.hg.1,1,0.203267,-1.28,-4.8977,MIR99A,microRNA 99a,,,,
TC21001070.hg.1,1,0.203284,1.28,-4.8977,LOC388813,uncharacterized protein ENSP00000383407-like,,,,
TC17001136.hg.1,1,0.20332,-1.28,-4.8979,SCO1,SCO cytochrome oxidase deficient homolog 1 (yeast),,,,
TC08001473.hg.1,1,0.203393,1.28,-4.8981,RGS22,regulator of G-protein signaling 22,,,,
TC6_mcf_hap5000212.hg.1,1,0.203435,-1.28,-4.8982,C2,complement component 2,,,,
TC22000484.hg.1,1,0.203499,1.28,-4.8984,LOC100652750,uncharacterized LOC100652750,,,,
TC11000567.hg.1,1,0.203509,-1.28,-4.8985,SLC3A2,solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2,,,
TC03001590.hg.1,1,0.203519,1.28,-4.8985,PROS1,protein S (alpha),,,,
TC02001978.hg.1,1,0.203612,-1.28,-4.8988,SFXN5,sideroflexin 5,,,,
TC11000614.hg.1,1,0.203708,-1.28,-4.8991,ZFPL1,zinc finger protein-like 1,,,,
TC11001453.hg.1,1,0.20373,-1.28,-4.8992,SNORD14A,small nucleolar RNA, C/D box 14A,,,
TC09001607.hg.1,1,0.203863,-1.28,-4.8996,TOR2A,torsin family 2, member A,,,
TC15001245.hg.1,1,0.203963,1.28,-4.8999,RHOV,ras homolog gene family, member V,,,
TC07000148.hg.1,1,0.203999,-1.28,-4.9,RPS2P32,ribosomal protein S2 pseudogene 32,,,,
TC17001076.hg.1,1,0.204045,-1.28,-4.9002,ASGR1,asialoglycoprotein receptor 1,,,,
TC22000476.hg.1,1,0.20405,-1.28,-4.9002,BID,BH3 interacting domain death agonist,,,,
TC03001618.hg.1,1,0.204077,-1.28,-4.9003,RPL24,ribosomal protein L24,,,,
TC10001498.hg.1,1,0.204164,-1.28,-4.9005,ACTA2,actin, alpha 2, smooth muscle, aorta,
TC02001916.hg.1,1,0.204185,-1.28,-4.9006,SERTAD2,SERTA domain containing 2,,,,
TC22000701.hg.1,1,0.204243,-1.28,-4.9008,APOL4,apolipoprotein L,4,,,
TC05001644.hg.1,1,0.204261,1.28,-4.9008,GIN1,gypsy retrotransposon integrase 1,,,,
TC21000382.hg.1,1,0.20454,-1.28,-4.9017,KRTAP21-3,keratin associated protein 21-3,,,,
TC10001187.hg.1,1,0.204556,1.28,-4.9018,ZNF248,zinc finger protein 248,,,,
TC11001917.hg.1,1,0.204587,-1.28,-4.9019,MIR192,microRNA 192,,,,
TC22000509.hg.1,1,0.204596,-1.28,-4.9019,MIR1286,microRNA 1286,,,,
TC02000387.hg.1,1,0.204662,1.28,-4.9021,LOC100507073,uncharacterized LOC100507073,,,,
TC17001572.hg.1,1,0.204738,-1.28,-4.9023,HDAC5,histone deacetylase 5,,,,
TC02000758.hg.1,1,0.204828,1.28,-4.9026,EPB41L5,erythrocyte membrane protein band 4.1 like 5,,,,
TC0X001080.hg.1,1,0.204892,1.28,-4.9028,PAGE3,P antigen family, member 3 (prostate associated),,,
TC10001100.hg.1,1,0.204912,-1.28,-4.9029,LOC100499489,uncharacterized LOC100499489,,,,
TC17000085.hg.1,1,0.204927,-1.28,-4.9029,ACADVL,acyl-CoA dehydrogenase, very long chain,,,
TC13000281.hg.1,1,0.204935,1.28,-4.903,LINC00347,long intergenic non-protein coding RNA 347,,,,
TC19000840.hg.1,1,0.204952,1.28,-4.903,MIR521-2,microRNA 521-2,,,,
TC19000447.hg.1,1,0.204989,1.28,-4.9031,LOC100130342,secretoglobin-like pseudogene,,,,
TC15001822.hg.1,1,0.204992,1.28,-4.9031,MIR3529,microRNA 3529,,,,
TC07000032.hg.1,1,0.205022,1.28,-4.9032,CHST12,carbohydrate (chondroitin 4) sulfotransferase 12,,,,
TC19001812.hg.1,1,0.205025,1.28,-4.9032,ZNF415,zinc finger protein 415,,,,
TC12003250.hg.1,1,0.205071,-1.28,-4.9034,TSFM,Ts translation elongation factor, mitochondrial,,,
TC14001074.hg.1,1,0.205141,1.28,-4.9036,FSCB,fibrous sheath CABYR binding protein,,,,
TC12003285.hg.1,1,0.205182,-1.28,-4.9037,LOC338799,uncharacterized LOC338799,,,,
TC6_mcf_hap5000124.hg.1,1,0.205224,-1.28,-4.9039,SFTA2,surfactant associated 2,,,,
TC6_qbl_hap6000137.hg.1,1,0.205224,-1.28,-4.9039,SFTA2,surfactant associated 2,,,,
TC16001079.hg.1,1,0.205287,1.28,-4.9041,LOC146481,FSHD region gene 2 family, member C pseudogene,,,
TC02002226.hg.1,1,0.205342,-1.28,-4.9042,DDX11L2,DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11 like 2,,,,
TC09001414.hg.1,1,0.205411,1.28,-4.9045,LOC441461,uncharacterized LOC441461,,,,
TC15000342.hg.1,1,0.205451,-1.28,-4.9046,B2M,beta-2-microglobulin,,,,
TC12001033.hg.1,1,0.205468,1.28,-4.9046,FZD10,frizzled family receptor 10,,,,
TC04000378.hg.1,1,0.205503,1.28,-4.9047,CSN1S2AP,casein alpha s2-like A, pseudogene,,,
TC06000056.hg.1,1,0.205668,-1.28,-4.9053,RREB1,ras responsive element binding protein 1,,,,
TC18000578.hg.1,1,0.205717,-1.28,-4.9054,ZADH2,zinc binding alcohol dehydrogenase domain containing 2,,,,
TC01001453.hg.1,1,0.205724,1.28,-4.9054,MAEL,maelstrom homolog (Drosophila),,,,
TC04001308.hg.1,1,0.205747,-1.28,-4.9055,SCARB2,scavenger receptor class B, member 2,,,
TC19001553.hg.1,1,0.205749,-1.28,-4.9055,TGFB1,transforming growth factor, beta 1,,,
TC09000863.hg.1,1,0.205759,1.28,-4.9055,FOXD4,forkhead box D4,,,,
TC17000204.hg.1,1,0.205803,-1.28,-4.9057,DRG2,developmentally regulated GTP binding protein 2,,,,
TC19001267.hg.1,1,0.205809,-1.28,-4.9057,C19orf42,chromosome 19 open reading frame 42,,,,
TC06000790.hg.1,1,0.205837,1.28,-4.9058,AKIRIN2-AS1,AKIRIN2 antisense RNA 1 (non-protein coding),,,,
TC07001275.hg.1,1,0.205838,1.28,-4.9058,DPY19L2P1,dpy-19-like 2 pseudogene 1 (C. elegans),,,,
TC12003205.hg.1,1,0.205866,-1.28,-4.9059,NDUFA9,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,9, 39kDa,,
TC06001499.hg.1,1,0.206022,-1.28,-4.9064,TRIM26,tripartite motif containing 26,,,,
TC09002924.hg.1,1,0.206211,-1.28,-4.907,CARD9,caspase recruitment domain family, member 9,,,
TC21000537.hg.1,1,0.206353,-1.28,-4.9074,PTTG1IP,pituitary tumor-transforming 1 interacting protein,,,,
TC07000509.hg.1,1,0.206426,-1.28,-4.9076,CD36,CD36 molecule (thrombospondin receptor),,,,
TC06000640.hg.1,1,0.206536,1.28,-4.908,CENPQ,centromere protein Q,,,,
TC03001926.hg.1,1,0.206744,1.27,-4.9086,PLCH1,phospholipase C, eta 1,,,
TC01003671.hg.1,1,0.206864,1.27,-4.909,MIR181B1,microRNA 181b-1,,,,
TC16001225.hg.1,1,0.206959,1.27,-4.9093,NQO1,NAD(P)H dehydrogenase, quinone 1,,,
TC0X002321.hg.1,1,0.207028,1.27,-4.9095,TCEAL1,transcription elongation factor A (SII)-like 1,,,,
TC09001278.hg.1,1,0.207032,-1.27,-4.9095,FRMD3,FERM domain containing 3,,,,
TC05001270.hg.1,1,0.207037,1.27,-4.9095,NADKD1,NAD kinase domain containing 1,,,,
TC15000062.hg.1,1,0.20706,1.27,-4.9096,SNORD116-16,small nucleolar RNA, C/D box 116-16,,,
TC09001345.hg.1,1,0.207123,-1.27,-4.9098,NINJ1,ninjurin 1,,,,
TC17001581.hg.1,1,0.207246,1.27,-4.9102,ITGA2B,integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41),,
TC15000709.hg.1,1,0.207276,1.27,-4.9103,RCN2,reticulocalbin 2, EF-hand calcium binding domain,,,
TC16001302.hg.1,1,0.207491,1.27,-4.9109,MPHOSPH6,M-phase phosphoprotein 6,,,,
TC01000267.hg.1,1,0.207495,-1.27,-4.911,LOC100506801,uncharacterized LOC100506801,,,,
TC18000476.hg.1,1,0.207531,-1.27,-4.9111,EPG5,ectopic P-granules autophagy protein 5 homolog (C. elegans),,,,
TC07001828.hg.1,1,0.207531,1.27,-4.9111,GPR37,G protein-coupled receptor 37 (endothelin receptor type B-like),,,,
TC17000739.hg.1,1,0.207548,1.27,-4.9111,PPM1D,protein phosphatase, Mg2+/Mn2+ dependent, 1D,,
TC02001769.hg.1,1,0.207934,-1.27,-4.9123,SLC8A1,solute carrier family 8 (sodium/calcium exchanger), member 1,,,
TC13000855.hg.1,1,0.208043,1.27,-4.9126,KDELC1,KDEL (Lys-Asp-Glu-Leu) containing 1,,,,
TC14000771.hg.1,1,0.208223,1.27,-4.9132,DIO3,deiodinase, iodothyronine, type III,,
TC03002132.hg.1,1,0.208324,1.27,-4.9135,GP5,glycoprotein V (platelet),,,,
